date,change_in_mobility,state_id,country
2020-10-30,-5.17,BW,Germany
2020-10-31,2.64,BW,Germany
2020-11-01,-12.38,BW,Germany
2020-11-02,-5.48,BW,Germany
2020-11-03,-8.75,BW,Germany
2020-11-04,-7.88,BW,Germany
2020-11-05,-4.98,BW,Germany
2020-11-06,-8.17,BW,Germany
2020-11-07,-11.91,BW,Germany
2020-11-08,-10.09,BW,Germany
2020-11-09,-5.69,BW,Germany
2020-11-10,-6.67,BW,Germany
2020-11-11,-7.64,BW,Germany
2020-11-12,-6.18,BW,Germany
2020-11-13,-7.53,BW,Germany
2020-11-14,-9.2,BW,Germany
2020-11-15,-5.3,BW,Germany
2020-11-16,-7.95,BW,Germany
2020-11-17,-7.12,BW,Germany
2020-11-18,-6.64,BW,Germany
2020-11-19,-8.94,BW,Germany
2020-11-20,-10.73,BW,Germany
2020-11-21,-16.3,BW,Germany
2020-11-22,-17.45,BW,Germany
2020-11-23,-8.33,BW,Germany
2020-11-24,-7.91,BW,Germany
2020-11-25,-8.09,BW,Germany
2020-11-26,-6.0,BW,Germany
2020-11-27,-5.69,BW,Germany
2020-11-28,-13.45,BW,Germany
2020-11-29,-22.03,BW,Germany
2020-11-30,-7.46,BW,Germany
2020-12-01,2.63,BW,Germany
2020-12-02,-7.7,BW,Germany
2020-12-03,-6.79,BW,Germany
2020-12-04,,BW,Germany
2020-12-05,,BW,Germany
2020-12-06,,BW,Germany
2020-12-07,,BW,Germany
2020-12-08,8.15,BW,Germany
2020-12-09,-10.64,BW,Germany
2020-12-10,-6.91,BW,Germany
2020-12-11,0.24,BW,Germany
2020-12-12,-19.86,BW,Germany
2020-12-13,-29.11,BW,Germany
2020-12-14,2.1,BW,Germany
2020-12-15,9.78,BW,Germany
2020-12-16,-21.75,BW,Germany
2020-12-17,-21.98,BW,Germany
2020-12-18,-18.31,BW,Germany
2020-12-19,-25.65,BW,Germany
2020-12-20,-29.25,BW,Germany
2020-12-21,-17.99,BW,Germany
2020-12-22,-12.61,BW,Germany
2020-12-23,-26.71,BW,Germany
2020-12-24,-43.73,BW,Germany
2020-12-25,-14.86,BW,Germany
2020-12-26,-13.27,BW,Germany
2020-12-27,-27.65,BW,Germany
2020-12-28,-34.81,BW,Germany
2020-12-29,-25.63,BW,Germany
2020-12-30,-32.71,BW,Germany
2020-12-31,-47.0,BW,Germany
2021-01-01,-9.77,BW,Germany
2021-01-02,-26.26,BW,Germany
2021-01-03,-15.06,BW,Germany
2021-01-04,-26.42,BW,Germany
2021-01-05,-25.52,BW,Germany
2021-01-06,-7.99,BW,Germany
2021-01-07,-19.02,BW,Germany
2021-01-08,-20.85,BW,Germany
2021-01-09,-15.39,BW,Germany
2021-01-10,-4.27,BW,Germany
2021-01-11,-13.6,BW,Germany
2021-01-12,-20.83,BW,Germany
2021-01-13,-11.36,BW,Germany
2021-01-14,-13.8,BW,Germany
2021-01-15,-11.58,BW,Germany
